2021-10-24 00:03:40.340833|merhaba|Merhaba
2021-10-24 00:03:51.603241|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-24 00:03:56.834982|merhaba|Selam
2021-10-24 00:04:12.735869|einstein|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 00:05:53.401886|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-24 00:05:58.552892|doppler|Doppler etkisi, adını ünlü bilim insanı ve matematikçi Christian Andreas Doppler'den almakta olup, kısaca dalga özelliği gösteren herhangi bir fiziksel varlığın frekans ve dalga boyu'nun hareketli bir gözlemci tarafından farklı zaman veya konumlarda farklı algılanması olayıdır.  Günlük hayatta buna her zaman tanık olmaktayız. Örneğin bir yolun kenarında beklerken bize yaklaşan taşıtların motorundan çıkan seslerin frekansının giderek arttığını duyarız. Araç yanımızdan geçip bizden uzaklaşmaya başladığındaysa frekans giderek azalır. Linkteki videoya gözatmanı tavsiye ederim https://www.youtube.com/watch?v=rbcvPEXiWWo 
2021-10-24 00:06:09.992656|anştayn kimdir|Ünlü bir fizikçi
2021-10-24 00:07:34.514422|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-24 00:07:41.420859|meraba|Hey ! Merhaba &#128512;
2021-10-24 00:07:46.757129|nasılsın|Harikayım. Sen ?
2021-10-24 00:07:53.200082|iyiyim bende|Umarım herşey yolundadır &#128512;
2021-10-24 00:08:42.644988|mrb|Hey ! Merhaba &#128512;
2021-10-24 00:08:48.720562|iyiyim|Umarım herşey yolundadır &#128512;
2021-10-24 00:08:54.518137|bende iyiyim|Umarım herşey yolundadır &#128512;
2021-10-24 00:09:01.161876|iyiyim bende|Umarım herşey yolundadır &#128512;
2021-10-24 00:09:12.421437|takıldın|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-24 00:09:18.645853|yardım|Merhaba. Benimle konuşurken yazabileceğin birkaç diyalog söylemek istiyorum, merhaba, nasılsın, adın ne, nerelisin, kaç yaşındasın, modern fizik nedir,görelilik nedir,ışık hızı,einstein kimdir
2021-10-24 00:09:26.592050|einstein kimdir|Einstein deyince aklıma hep E=mc2 formülü gelir.
2021-10-24 00:09:48.047193|einstein kim|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 11:35:51.516642|Mrb|Hey ! Merhaba &#128512;
2021-10-24 20:56:14.631696|selam|Merhaba
2021-10-24 20:56:20.279987|nasılsın|Harikayım. Sen ?
2021-10-24 20:56:28.712052|bende iyiyim|Umarım herşey yolundadır &#128512;
2021-10-24 20:56:47.026575|einstein kimdir biraz bilgi verirmisin|Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için  1921 yılında Nobel Fizik Ödülü alan ünlü fizikçi.
2021-10-24 20:57:09.172695|einstein ne zaman nobel almıştır|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-24 21:12:35.671453|mrb|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-24 21:12:59.476468|Meraba|Selam
2021-10-24 21:13:07.888222|Nasilsin|Harikayım. Sen ?
2021-10-24 21:13:15.405282|Bende iyiyim|Umarım herşey yolundadır &#128512;
2021-10-24 21:13:29.043302|Einstein hakkinda bilgi verirmisim|Einstein deyince aklıma hep E=mc2 formülü gelir.
2021-10-24 21:13:41.213971|Kimdir peki einstein|Dünyada, en çok tanınan bilim insanlarından biri
2021-10-24 21:13:54.154500|Einstein|1921 yılında ‘Kuramsal fiziğe verdiği hizmetler ve özellikle fotoelektrik etkiyi buluşu için’ kendisine Nobel Fizik Ödülü verilmiştir.
2021-10-25 09:49:03.976258|slm|Merhaba
2021-10-25 23:51:50.910863|slm|Selam
2021-10-25 23:52:07.339982|nasılsın|Harikayım. Sen ?
2021-10-25 23:52:17.332387|iyiyim|Umarım herşey yolundadır &#128512;
2021-10-25 23:52:24.403764|sen kimsin|Benim amacım insanlara yardımcı olmak
2021-10-25 23:52:33.942587|insanmısın|Ben bir yapay zeka botuyum
2021-10-25 23:53:37.847803|einstein kimdir|Dünyada, en çok tanınan bilim insanlarından biri
2021-10-25 23:53:49.915627|doppler nedir|Doppler etkisi, adını ünlü bilim insanı ve matematikçi Christian Andreas Doppler'den almakta olup, kısaca dalga özelliği gösteren herhangi bir fiziksel varlığın frekans ve dalga boyu'nun hareketli bir gözlemci tarafından farklı zaman veya konumlarda farklı algılanması olayıdır.  Günlük hayatta buna her zaman tanık olmaktayız. Örneğin bir yolun kenarında beklerken bize yaklaşan taşıtların motorundan çıkan seslerin frekansının giderek arttığını duyarız. Araç yanımızdan geçip bizden uzaklaşmaya başladığındaysa frekans giderek azalır. Linkteki videoya gözatmanı tavsiye ederim https://www.youtube.com/watch?v=rbcvPEXiWWo 
2021-10-25 23:54:05.309095|ilginç|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-25 23:54:14.528096|yardım|Merhaba. Benimle konuşurken yazabileceğin birkaç diyalog söylemek istiyorum, merhaba, nasılsın, adın ne, nerelisin, kaç yaşındasın, modern fizik nedir,görelilik nedir,ışık hızı,einstein kimdir
2021-10-25 23:54:22.063720|nerelisin|Internet &#128512;
2021-10-25 23:54:33.977416|kaç yaşındasın sen|Yaşımı söylemesem &#128512;
2021-10-25 23:54:44.318226|ışık hızı|Einstein, özel görelilik kuramını ortaya atarken temel bir varsayım olarak ışığın bize göre hızının hep aynı olduğunu kabul etmişti. Yani, biz ne kadar hızlı gidersek gidelim, ışık bize göre hep aynı hızla yayılıyor. 
2021-10-25 23:55:11.116300|görelilik nedir|Görelilik, bir fiziksel büyüklüğün farklı gözlemcilerce ölçülen değerleri arasındaki ilişkiyi belirler.
2021-10-26 22:10:32.747956|slm|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-29 11:01:49.716181|Slm|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-31 20:10:07.922218|test|Ne demek istediğini anlayamadım &#129300;Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
2021-10-31 20:10:21.900720|slm|Merhaba ! Benimle konuştuğun için sevindim &#128512;
2021-10-31 20:11:10.441073|yarrdım|Üzgünüm anlayamadım &#129300; Aşağıdaki mesaj kutusuna 'yardım' yazarak benimle nasıl konuşacağını öğrenebilirsin
